country_name,player_name,country_code,age,continent,Value,fifa_score,Club,Salary,salary_n,value_n
Argentina,G. Gentile,AR,22,SA,€220K,Fifa Score,Temperley,€1K,1000,220000
Argentina,N. Schiavi,AR,22,SA,€220K,Fifa Score,Novara,€1K,1000,220000
Argentina,J. Carranza,AR,17,SA,€350K,Fifa Score,Banfield,€2K,2000,350000
Argentina,G. Bianchini,AR,20,SA,€250K,Fifa Score,Talleres de Cordoba,€2K,2000,250000
Argentina,L. Destéfano,AR,22,SA,€210K,Fifa Score,Chacarita Juniors,€2K,2000,210000
Argentina,I. Colman,AR,22,SA,€270K,Fifa Score,Argentinos Juniors,€2K,2000,270000
Argentina,A. Módula,AR,24,SA,€200K,Fifa Score,Chacarita Juniors,€2K,2000,200000
Argentina,L. Cháves,AR,21,SA,€160K,Fifa Score,Argentinos Juniors,€1K,1000,160000
Argentina,J. González,AR,20,SA,€230K,Fifa Score,Chacarita Juniors,€1K,1000,230000
Argentina,F. Álvarez,AR,24,SA,€220K,Fifa Score,Atlético Tucumán,€2K,2000,220000
Argentina,M. Ferreyra,AR,21,SA,€270K,Fifa Score,Bahía Blanca,€1K,1000,270000
Argentina,G. Villar,AR,22,SA,€230K,Fifa Score,Bahía Blanca,€1K,1000,230000
Argentina,C. Mosca,AR,26,SA,€220K,Fifa Score,San Martín de San Juan,€2K,2000,220000
Argentina,G. Lazarte,AR,19,SA,€350K,Fifa Score,Chacarita Juniors,€1K,1000,350000
Argentina,E. Franco,AR,22,SA,€290K,Fifa Score,Newell's Old Boys,€2K,2000,290000
Argentina,S. Martelli,AR,21,SA,€375K,Fifa Score,Temperley,€1K,1000,375000
Argentina,J. Silva,AR,19,SA,€290K,Fifa Score,Gimnasia y Esgrima La Plata,€1K,1000,290000
Argentina,N. Bazzana,AR,21,SA,€270K,Fifa Score,Estudiantes de La Plata,€2K,2000,270000
Argentina,J. Laso,AR,26,SA,€180K,Fifa Score,Argentinos Juniors,€2K,2000,180000
Argentina,M. Vargas,AR,20,SA,€450K,Fifa Score,Vélez Sarsfield,€2K,2000,450000
Argentina,N. Temperini,AR,22,SA,€240K,Fifa Score,Newell's Old Boys,€2K,2000,240000
Argentina,L. Compagnucci,AR,21,SA,€325K,Fifa Score,Club Atlético Huracán,€1K,1000,325000
Argentina,L. Martínez,AR,19,SA,€400K,Fifa Score,Defensa y Justicia,€1K,1000,400000
Argentina,L. Mesa,AR,20,SA,€375K,Fifa Score,Argentinos Juniors,€2K,2000,375000
Argentina,G. Goñi,AR,18,SA,€375K,Fifa Score,Boca Juniors,€2K,2000,375000
Argentina,R. Ramírez,AR,20,SA,€290K,Fifa Score,Godoy Cruz,€1K,1000,290000
Argentina,N. Barrios,AR,19,SA,€450K,Fifa Score,San Lorenzo de Almagro,€2K,2000,450000
Argentina,R. De Ciancio,AR,22,SA,€240K,Fifa Score,Temperley,€2K,2000,240000
